GMT Greenwich Mean Time                                   - 12
GMT+12:00 New Zealand(Wellington, Auckland)               - 24
GMT+12:45 New Zealand(Chatham Islands)                    - 121
GMT+13:00 Tonga(Nukualofa)                                - 25
GMT-01:00 Arquipelago Dos Acores                          - 11
GMT-01:00 Portugal(Azores)                                - 65
GMT-02:00 UTC-02                                          - 10
GMT-03:00 Argentina(Buenos Aires)                         - 64
GMT-03:00 Brasil(Brasilia)                                - 9 
GMT-03:00 Denmark-Greenland(Nuuk)                         - 63
GMT-03:30 Canada-Newfoundland(St. Johns)                  - 43
GMT-04:00 Canada-Atlantic                                 - 42
GMT-04:00 Paraguay(Asuncion)                              - 59
GMT-04:00 Santiago de Chile                               - 8 
GMT-04:00 Trinidad &amp; Tobago                           - 62
GMT-04:00 United kingdom(Falkland Islands)                - 61
GMT-04:00 United kingdom-Bermuda(Bermuda)                 - 60
GMT-04:30 Venezuela(Caracas)                              - 58
GMT-05:00 Bahamas(Nassau)                                 - 55
GMT-05:00 Canada(Montreal, Ottawa, Quebec)                - 56
GMT-05:00 Cuba(Havana)                                    - 57
GMT-05:00 Lima                                            - 7 
GMT-05:00 US-East-Indiana                                 - 38
GMT-05:00 US-Eastern                                      - 32
GMT-05:00 US-Michigan                                     - 34
GMT-06:00 Canada-Manitoba(Winnipeg)                       - 53
GMT-06:00 Chile(Easter Islands)                           - 54
GMT-06:00 Mexico(Mexico City, Acapulco)                   - 6 
GMT-06:00 US-Central                                      - 37
GMT-06:00 US-Indiana-Starke                               - 39
GMT-07:00 Canada(Edmonton, Calgary)                       - 51
GMT-07:00 LaPaz                                           - 5 
GMT-07:00 Mexico(Mazatlan, Chihuahua)                     - 52
GMT-07:00 US-Arizona                                      - 31
GMT-07:00 US-Mountain                                     - 40
GMT-08:00 California                                      - 4 
GMT-08:00 Canada(Vancouver, Whitehorse)                   - 49
GMT-08:00 Mexico(Tijuana, Mexicali)                       - 50
GMT-08:00 US-Pacific                                      - 35
GMT-09:00 US-Alaska                                       - 30
GMT-09:00 UTC-9                                           - 3 
GMT-10:00 US-Aleutian                                     - 36
GMT-10:00 US-Hawaii                                       - 33
GMT-10:00 UTC-10                                          - 2 
GMT-11:00 US-Samoa                                        - 41
GMT-11:00 UTC-11                                          - 1 
GMT-12:00 UTC-12                                          - 0 
